Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Round,Accuracy,Run dir,Run key,Score path,Observed rounds,Complete run,Result source,Run status
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,34,28.180995957843674,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,35,27.34488242342813,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,36,27.310638356258128,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,37,28.14600119735859,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,38,29.381793547843234,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,39,29.570951694583147,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,40,27.363387356819953,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,41,28.866139617522173,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,42,28.077354955479638,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,43,27.479843822938705,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
