Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Client count,Client count label,Round,Round id,Segment,Accuracy source,Result source,Run status,Mean accuracy,Std accuracy,Seed count,Manifest rows,Communication round
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,14,13,2,round_config,round config,Committed partial,27.538580552776942,0.0,1,1,14
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,15,14,2,round_config,round config,Committed partial,27.76858961847851,0.0,1,1,15
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,16,15,2,round_config,round config,Committed partial,28.556988370972462,0.0,1,1,16
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,17,16,2,round_config,round config,Committed partial,28.491623913408503,0.0,1,1,17
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,18,17,2,round_config,round config,Committed partial,28.951266989288982,0.0,1,1,18
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,19,18,2,round_config,round config,Committed partial,28.626508257263144,0.0,1,1,19
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,20,19,2,round_config,round config,Committed partial,29.211827033216835,0.0,1,1,20
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,1,0,1,round_config,round config,Committed partial,27.263354601320138,0.0,1,7,1
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,2,1,1,round_config,round config,Committed partial,27.881321426486267,0.0,1,7,2
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,3,2,1,round_config,round config,Committed partial,28.778352292414006,0.0,1,7,3
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,4,3,1,round_config,round config,Committed partial,29.650430302228614,0.0,1,7,4
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,5,4,1,round_config,round config,Committed partial,31.318223656085358,0.0,1,7,5
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,6,5,1,round_config,round config,Committed partial,30.460475503468924,0.0,1,7,6
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,7,6,1,round_config,round config,Committed partial,32.428623139071156,0.0,1,7,7
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,8,7,1,round_config,round config,Committed partial,33.57479711734421,0.0,1,7,8
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,9,8,1,round_config,round config,Committed partial,31.141833175559892,0.0,1,7,9
