Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Accuracy,Previous round,Previous accuracy,Marginal accuracy gain,Compute cost
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,5,6,29.674882364489875,5,28.797494836034467,0.877387528455408,30
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,5,7,29.706705757440016,6,29.674882364489875,0.03182339295014103,35
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,5,8,30.705571806875405,7,29.706705757440016,0.9988660494353887,40
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,5,9,30.968776637827954,8,30.705571806875405,0.26320483095254943,45
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,5,10,28.456925303153803,9,30.968776637827954,-2.5118513346741516,50
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,2,27.517592858255973,1,27.246486310916655,0.2711065473393184,2
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,3,29.485380152718545,2,27.517592858255973,1.9677872944625712,3
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,4,30.238814181418494,3,29.485380152718545,0.7534340286999495,4
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,5,32.11790727514315,4,30.238814181418494,1.8790930937246593,5
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,6,33.19234141611857,5,32.11790727514315,1.07443414097542,6
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,7,33.49739861895184,6,33.19234141611857,0.3050572028332681,7
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,8,33.02129157096672,7,33.49739861895184,-0.47610704798512415,8
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,9,32.01699222466512,8,33.02129157096672,-1.0042993463016003,9
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,10,33.63478226383233,9,32.01699222466512,1.617790039167211,10
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,2,2,31.33688334908084,1,29.06456222541301,2.2723211236678296,4
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,2,3,31.80734061277442,2,31.33688334908084,0.4704572636935822,6
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,2,4,33.03217713179109,3,31.80734061277442,1.224836519016666,8
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,2,5,32.427153109769165,4,33.03217713179109,-0.6050240220219223,10
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,2,6,32.11071966523567,5,32.427153109769165,-0.3164334445334944,12
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,2,7,31.271170767590746,6,32.11071966523567,-0.8395488976449244,14
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,2,8,32.09844624254533,7,31.271170767590746,0.8272754749545825,16
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,2,9,31.42670953408616,8,32.09844624254533,-0.6717367084591679,18
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,2,10,31.36571298652393,9,31.42670953408616,-0.06099654756222961,20
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,2,32.19803453394798,1,29.24313731007976,2.9548972238682225,6
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,3,31.793211176142027,2,32.19803453394798,-0.4048233578059559,9
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,4,32.489140575088385,3,31.793211176142027,0.6959293989463582,12
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,5,31.94067675720428,4,32.489140575088385,-0.5484638178841053,15
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,6,30.927152427712812,5,31.94067675720428,-1.0135243294914673,18
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,7,31.24418010911357,6,30.927152427712812,0.3170276814007593,21
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,8,31.49561459711265,7,31.24418010911357,0.2514344879990773,24
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,9,31.510503438229765,8,31.49561459711265,0.014888841117116414,27
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,10,31.0101526547609,9,31.510503438229765,-0.5003507834688641,30
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,5,2,33.11990978473841,1,30.85645266834172,2.2634571163966903,10
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,5,3,32.64883936141125,2,33.11990978473841,-0.47107042332716276,15
