Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Result source,Run status,Mean accuracy,Std accuracy,Seed count,Seeds,Max config rounds,Compute cost
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,1,score log,Complete,29.38020421842083,0.0,1,0,10,2
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,2,score log,Complete,29.093940332709405,0.0,1,0,10,4
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,3,score log,Complete,27.72523454457918,0.0,1,0,10,6
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,4,score log,Complete,27.94806734622142,0.0,1,0,10,8
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,5,score log,Complete,29.95713368479402,0.0,1,0,10,10
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,6,score log,Complete,29.33993454320025,0.0,1,0,10,12
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,7,score log,Complete,29.604089890723916,0.0,1,0,10,14
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,8,score log,Complete,29.747797875067693,0.0,1,0,10,16
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,9,score log,Complete,27.632280169050773,0.0,1,0,10,18
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,10,score log,Complete,28.834408267833282,0.0,1,0,10,20
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,1,score log,Complete,28.379102042258353,0.0,1,0,10,3
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,2,score log,Complete,29.239962529536236,0.0,1,0,10,6
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,3,score log,Complete,29.422202458681294,0.0,1,0,10,9
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,4,score log,Complete,28.342653928096663,0.0,1,0,10,12
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,5,score log,Complete,28.47312678111565,0.0,1,0,10,15
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,6,score log,Complete,28.02480285423708,0.0,1,0,10,18
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,7,score log,Complete,27.34953307914274,0.0,1,0,10,21
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,8,score log,Complete,26.836335261068257,0.0,1,0,10,24
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,9,score log,Complete,28.121018206736824,0.0,1,0,10,27
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,10,score log,Complete,27.603019089114113,0.0,1,0,10,30
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,1,score log,Complete,29.09271979993631,0.0,1,0,10,5
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,2,score log,Complete,29.23888293929154,0.0,1,0,10,10
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,3,score log,Complete,26.839270761111973,0.0,1,0,10,15
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,4,score log,Complete,26.877149148672704,0.0,1,0,10,20
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,5,score log,Complete,27.31281650485078,0.0,1,0,10,25
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,6,score log,Complete,26.183754780513752,0.0,1,0,10,30
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,7,score log,Complete,27.77470872482014,0.0,1,0,10,35
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,8,score log,Complete,26.134455961014464,0.0,1,0,10,40
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,9,score log,Complete,27.280963496072413,0.0,1,0,10,45
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,10,score log,Complete,26.17251739399218,0.0,1,0,10,50
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,1,score log,Complete,18.010128348096284,0.0,1,0,10,1
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,2,score log,Complete,27.614028507987747,0.0,1,0,10,2
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,3,score log,Complete,26.585125530414842,0.0,1,0,10,3
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,4,score log,Complete,27.66823879720235,0.0,1,0,10,4
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,5,score log,Complete,27.545509092791843,0.0,1,0,10,5
