Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Round,Oracle epochs,Oracle accuracy,Smoothed epochs,Smoothed accuracy,Oracle gain over current epoch,Meaningful switch,Switch threshold,Compute cost
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,8,5,29.596836073923154,2,29.24455166705512,0.35228440686803353,False,0.5,16
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,9,2,29.506879572471373,2,29.506879572471373,0.0,False,0.5,18
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,10,1,29.85784710827064,2,29.552222519942273,0.30562458832836725,False,0.5,20
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,1,5,28.335098379205913,5,28.335098379205913,0.0,False,0.5,5
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,2,3,28.074673271321913,3,28.074673271321913,1.3092353866698687,True,0.5,6
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,5,28.488122144311152,5,28.488122144311152,0.8439185392220558,True,0.5,15
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,4,5,28.35857496868705,5,28.35857496868705,0.0,False,0.5,20
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,5,2,28.54926799514608,2,28.54926799514608,1.7484076379564115,True,0.5,10
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,6,3,27.375268615803357,3,27.375268615803357,0.5716204151468425,True,0.5,18
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,7,2,27.890324833725224,3,27.726689081102485,0.16363575262273855,False,0.5,21
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,8,2,29.105461981714768,2,29.105461981714768,2.792038708931919,True,0.5,16
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,9,1,26.837950462767658,2,26.689458908345344,0.1484915544223142,False,0.5,18
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,10,1,28.869235565072458,1,28.869235565072458,2.008591421897165,True,0.5,10
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,1,5,28.548736037734646,5,28.548736037734646,0.0,False,0.5,5
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,2,3,28.846910496548638,5,28.352936201762862,0.4939742947857759,False,0.5,10
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,2,28.415731852952735,5,28.364074237912096,0.05165761504063937,False,0.5,15
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,4,5,29.614578378920374,5,29.614578378920374,0.0,False,0.5,20
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,5,1,28.632243921249316,5,28.430879734228164,0.20136418702115222,False,0.5,25
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,6,2,28.573934683372936,2,28.573934683372936,1.517011935336189,True,0.5,12
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,7,5,29.13094055613926,5,29.13094055613926,1.3415342928010254,True,0.5,35
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,8,3,29.165202821828203,3,29.165202821828203,0.5850184151145434,True,0.5,24
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,9,3,28.84428912215567,3,28.84428912215567,0.0,False,0.5,27
